STT,ID Nhà cung cấp,Tên công ty,Email,Điện thoại,Tỷ lệ hoa hồng (%),Số lượng booking,Tổng số tiền cần thanh toán (VND),Ghi chú
1,1,"Vietnam Adventures Co.","supplier@example.com","+84 902345678",15,381,"2,340,818,089,113","Tổng số tiền cần thanh toán cho 381 booking(s)"
2,2,"avdb","customer3@example.com","+84 905678908",15,175,"1,792,454,713","Tổng số tiền cần thanh toán cho 175 booking(s)"
3,3,"Blue Sky Travel Agency","supplier01@example.com","+84 902234001",19.14,131,"1,190,321,664","Tổng số tiền cần thanh toán cho 131 booking(s)"
4,4,"Explore Vietnam Travel","supplier02@example.com","+84 902234002",16.32,142,"1,379,395,346","Tổng số tiền cần thanh toán cho 142 booking(s)"
5,5,"Luxury Travel Experience","supplier03@example.com","+84 902234003",11.59,137,"1,537,090,734","Tổng số tiền cần thanh toán cho 137 booking(s)"
6,6,"Beach Paradise Travel","supplier04@example.com","+84 902234004",15,154,"1,110,160,138","Tổng số tiền cần thanh toán cho 154 booking(s)"
7,7,"Mountain View Tours","supplier05@example.com","+84 902234005",15.06,167,"1,641,234,251","Tổng số tiền cần thanh toán cho 167 booking(s)"
8,8,"Golden Gate Adventures","supplier06@example.com","+84 902234006",13.7,147,"1,561,137,011","Tổng số tiền cần thanh toán cho 147 booking(s)"
9,9,"Beach Paradise Travel","supplier07@example.com","+84 902234007",15.22,134,"1,175,304,292","Tổng số tiền cần thanh toán cho 134 booking(s)"
10,10,"Adventure Tours Co.","supplier08@example.com","+84 902234008",11.16,162,"1,597,516,882","Tổng số tiền cần thanh toán cho 162 booking(s)"
11,11,"Adventure Tours Co.","supplier09@example.com","+84 902234009",15.79,152,"1,617,926,309","Tổng số tiền cần thanh toán cho 152 booking(s)"
12,12,"Luxury Travel Experience","supplier10@example.com","+84 902234010",11.55,163,"1,501,645,723","Tổng số tiền cần thanh toán cho 163 booking(s)"
13,13,"Beach Paradise Travel","supplier11@example.com","+84 902234011",18.54,133,"1,340,757,268","Tổng số tiền cần thanh toán cho 133 booking(s)"
14,14,"Golden Gate Adventures","supplier12@example.com","+84 902234012",18.87,145,"1,557,651,987","Tổng số tiền cần thanh toán cho 145 booking(s)"
15,15,"Ocean Breeze Adventures","supplier13@example.com","+84 902234013",16.8,183,"2,062,837,296","Tổng số tiền cần thanh toán cho 183 booking(s)"
16,16,"Mystic Journey Tours","supplier14@example.com","+84 902234014",14.89,174,"1,794,737,124","Tổng số tiền cần thanh toán cho 174 booking(s)"
17,17,"Beach Paradise Travel","supplier15@example.com","+84 902234015",10.68,168,"1,787,703,625","Tổng số tiền cần thanh toán cho 168 booking(s)"

TỔNG CỘNG,,,,,2848 booking(s),"2,365,465,963,475","Tổng số tiền cần thanh toán cho tất cả nhà cung cấp"

CHI TIẾT TỪNG BOOKING
STT,ID Nhà cung cấp,Tên công ty,Booking ID,Booking Ref,Tổng tiền booking (VND),Số tiền cần thanh toán (VND)
1,1,"Vietnam Adventures Co.",1721,"BK00001404","25,865,000","21,985,250"
2,1,"Vietnam Adventures Co.",897,"BK00000580","18,543,750","15,762,188"
3,1,"Vietnam Adventures Co.",889,"BK00000572","3,891,000","3,307,350"
4,1,"Vietnam Adventures Co.",2813,"BK00002496","11,581,500","9,844,275"
5,1,"Vietnam Adventures Co.",2775,"BK00002458","6,677,000","5,675,450"
6,1,"Vietnam Adventures Co.",415,"BK00000098","499,950,000","424,957,500"
7,1,"Vietnam Adventures Co.",2756,"BK00002439","12,000,000","10,200,000"
8,1,"Vietnam Adventures Co.",2752,"BK00002435","33,750,000,000","28,687,500,000"
9,1,"Vietnam Adventures Co.",2740,"BK00002423","11,003,000","9,352,550"
10,1,"Vietnam Adventures Co.",2718,"BK00002401","7,095,500","6,031,175"
11,1,"Vietnam Adventures Co.",9,"BK1004","3,550,000","3,017,500"
12,1,"Vietnam Adventures Co.",2714,"BK00002397","1,037,750","882,088"
13,1,"Vietnam Adventures Co.",2708,"BK00002391","22,500,000,000","19,125,000,000"
14,1,"Vietnam Adventures Co.",2698,"BK00002381","4,861,000","4,131,850"
15,1,"Vietnam Adventures Co.",2694,"BK00002377","13,448,500","11,431,225"
16,1,"Vietnam Adventures Co.",2688,"BK00002371","500,000","425,000"
17,1,"Vietnam Adventures Co.",433,"BK00000116","15,000,000,000","12,750,000,000"
18,1,"Vietnam Adventures Co.",2671,"BK00002354","33,746,250","28,684,313"
19,1,"Vietnam Adventures Co.",10,"BK1005","2,050,000","1,742,500"
20,1,"Vietnam Adventures Co.",2665,"BK00002348","1,829,000","1,554,650"
21,1,"Vietnam Adventures Co.",2661,"BK00002344","374,999,550,000","318,749,617,500"
22,1,"Vietnam Adventures Co.",2653,"BK00002336","2,831,000","2,406,350"
23,1,"Vietnam Adventures Co.",441,"BK00000124","23,548,000","20,015,800"
24,1,"Vietnam Adventures Co.",2649,"BK00002332","11,675,000","9,923,750"
25,1,"Vietnam Adventures Co.",2607,"BK00002290","2,250,000","1,912,500"
26,1,"Vietnam Adventures Co.",2601,"BK00002284","17,661,000","15,011,850"
27,1,"Vietnam Adventures Co.",2590,"BK00002273","35,227,500","29,943,375"
28,1,"Vietnam Adventures Co.",2586,"BK00002269","150,000,000,000","127,500,000,000"
29,1,"Vietnam Adventures Co.",452,"BK00000135","9,000,000","7,650,000"
30,1,"Vietnam Adventures Co.",2565,"BK00002248","3,215,000","2,732,750"
31,1,"Vietnam Adventures Co.",11,"BK1006","12,100,000","10,285,000"
32,1,"Vietnam Adventures Co.",2563,"BK00002246","3,658,000","3,109,300"
33,1,"Vietnam Adventures Co.",2521,"BK00002204","500,000","425,000"
34,1,"Vietnam Adventures Co.",2515,"BK00002198","500,000","425,000"
35,1,"Vietnam Adventures Co.",2507,"BK00002190","9,000,000","7,650,000"
36,1,"Vietnam Adventures Co.",2500,"BK00002183","5,607,000","4,765,950"
